full_name,selling_price,year,km_driven,mileage,engine,max_power,seats,company,company_enc,seller_type_Individual,seller_type_Trustmark Dealer,fuel_type_Diesel,fuel_type_Electric,fuel_type_LPG,fuel_type_Petrol,transmission_type_Manual
Hyundai i20 1.2 Magna Executive,5.98,2018,40000,18.6,1197.0,81.83,5,Hyundai,5.348761685250852,True,False,False,False,False,True,True
Honda City i VTEC CVT SV,7.0,2015,31180,18.0,1497.0,117.3,5,Honda,6.041270410937343,False,False,False,False,False,True,False
Mahindra TUV 300 mHAWK100 T8 AMT,9.0,2018,40000,18.49,1493.0,100.0,7,Mahindra,7.210647709297036,True,False,True,False,False,False,False
Maruti 800 Std,0.75,2004,50000,16.1,796.0,37.0,4,Maruti,4.699671932366252,True,False,False,False,False,True,True
Tata Indigo LS TDI BSIII,3.0,2015,58000,19.09,1396.0,69.0,5,Tata,4.421740718651131,True,False,True,False,False,False,True
Maruti Swift Dzire ZDI,4.1,2014,56000,23.4,1248.0,74.0,5,Maruti,4.699671932366252,False,False,True,False,False,False,True
Fiat Grande Punto 1.3 Emotion Pack 90HP (Diesel),3.0,2011,93000,20.5,1248.0,91.7,5,Fiat,3.2989729988697767,True,False,True,False,False,False,True
Ambassador Avigo 1800 ISZ MPFI AC,2.25,2010,86000,12.2,1817.0,75.0,5,Ambassador,1.4569028113247833,False,False,False,False,False,True,True
Maruti Swift VDI BSIV,3.0,2011,120000,17.8,1248.0,5.0,5,Maruti,4.699671932366252,True,False,True,False,False,False,True
Maruti Baleno Zeta Automatic,5.9,2016,52427,21.4,1197.0,83.1,5,Maruti,4.699671932366252,False,False,False,False,False,True,False
Mahindra Bolero B6,8.5,2020,40000,21.0,1498.0,74.96,7,Mahindra,7.210647709297036,True,False,True,False,False,False,True
Tata Nano Cx BSIV,1.08,2011,70000,26.0,624.0,35.0,4,Tata,4.421740718651131,True,False,False,False,False,True,True
Mahindra KUV100 NXT G80 K8 5Str BSIV,5.5,2018,17000,18.15,1198.0,82.0,5,Mahindra,7.210647709297036,True,False,False,False,False,True,True
Toyota Etios G,3.25,2012,54325,17.6,1496.0,88.73,5,Toyota,11.265205016960472,False,False,False,False,False,True,True
Maruti Baleno Vxi - BSIII,6.25,2016,22000,15.4,1590.0,94.0,5,Maruti,4.699671932366252,False,False,False,False,False,True,True
Maruti Swift Dzire ZXI,6.0,2016,54000,20.85,1197.0,83.14,5,Maruti,4.699671932366252,True,False,False,False,False,True,True
Maruti Wagon R LXI Optional,4.45,2019,10000,20.51,998.0,67.04,5,Maruti,4.699671932366252,True,False,False,False,False,True,True
Maruti Ignis 1.2 Delta BSIV,5.3,2019,20000,20.89,1197.0,81.8,5,Maruti,4.699671932366252,True,False,False,False,False,True,True
Toyota Corolla Altis GL,3.85,2011,61000,14.53,1798.0,138.1,5,Toyota,11.265205016960472,False,False,False,False,False,True,True
Maruti Wagon R LXI CNG,4.1,2018,53237,26.6,998.0,58.16,5,Maruti,4.699671932366252,False,True,False,False,False,False,True
Datsun RediGO Gold 1.0,3.5,2018,27263,22.5,999.0,68.0,5,Datsun,3.2553778258484596,True,False,False,False,False,True,True
Tata Indigo eLX BS IV,2.65,2014,90000,25.0,1396.0,69.01,5,Tata,4.421740718651131,True,False,True,False,False,False,True
Hyundai Verna 1.6 CRDI,5.2,2014,110000,22.32,1582.0,126.3,5,Hyundai,5.348761685250852,True,False,True,False,False,False,True
Hyundai i20 Asta Option 1.4 CRDi,7.5,2016,70000,22.54,1396.0,88.73,5,Hyundai,5.348761685250852,True,False,True,False,False,False,True
Maruti Swift Dzire VDI,5.6,2017,70000,26.59,1248.0,74.0,5,Maruti,4.699671932366252,True,False,True,False,False,False,True
Tata Vista TDI LS,2.0,2014,190000,19.1,1405.0,70.0,5,Tata,4.421740718651131,True,False,True,False,False,False,True
Hyundai Xcent 1.2 CRDi SX,6.0,2017,40000,25.4,1186.0,73.97,5,Hyundai,5.348761685250852,True,False,True,False,False,False,True
Hyundai i20 1.2 Spotz,6.55,2019,39000,18.6,1197.0,81.83,5,Hyundai,5.348761685250852,False,False,False,False,False,True,True
Hyundai Santro Xing XE,1.25,2007,56000,17.8,1086.0,63.0,5,Hyundai,5.348761685250852,False,False,False,False,False,True,True
Toyota Corolla Altis 1.8 VL AT,4.25,2009,58000,14.53,1794.0,138.1,5,Toyota,11.265205016960472,False,False,False,False,False,True,False
Maruti Omni E MPI STD BS IV,2.2,2017,40000,16.8,796.0,34.2,8,Maruti,4.699671932366252,True,False,False,False,False,True,True
Hyundai i20 1.2 Spotz,5.5,2018,34000,18.6,1197.0,81.83,5,Hyundai,5.348761685250852,True,False,False,False,False,True,True
Mahindra Scorpio 1.99 S10,11.5,2017,50000,15.4,1997.0,120.0,7,Mahindra,7.210647709297036,True,False,True,False,False,False,True
Volkswagen Vento Diesel Highline,5.0,2012,77400,20.54,1598.0,103.6,5,Volkswagen,5.650061220319048,True,False,True,False,False,False,True
Mahindra Marazzo M2 BSIV,9.9,2019,36000,17.3,1497.0,121.0,7,Mahindra,7.210647709297036,True,False,True,False,False,False,True
Hyundai Verna SX Opt Diesel,5.51,2013,47876,25.0,1493.0,113.42,5,Hyundai,5.348761685250852,False,False,True,False,False,False,True
Mahindra XUV500 W11 Option AT BSIV,16.5,2018,21500,15.1,2179.0,152.87,7,Mahindra,7.210647709297036,True,False,True,False,False,False,False
Hyundai Grand i10 CRDi Magna,3.5,2015,75000,24.0,1120.0,70.0,5,Hyundai,5.348761685250852,False,False,True,False,False,False,True
Ford Aspire 1.2 Ti-VCT Titanium,5.0,2017,58000,18.16,1196.0,86.8,5,Ford,6.252057132401498,False,False,False,False,False,True,True
Maruti Swift Dzire VXI 1.2,5.75,2018,30000,21.21,1197.0,81.8,5,Maruti,4.699671932366252,True,False,False,False,False,True,True
Hyundai Grand i10 1.2 CRDi Asta,5.45,2018,50000,24.0,1186.0,73.97,5,Hyundai,5.348761685250852,True,False,True,False,False,False,True
Ford Figo 1.2P Titanium MT,5.25,2017,19093,18.16,1196.0,86.8,5,Ford,6.252057132401498,False,True,False,False,False,True,True
Honda Amaze E i-Vtech,4.0,2014,50000,18.0,1198.0,86.7,5,Honda,6.041270410937343,True,False,False,False,False,True,True
Maruti Wagon R LXI BSIII,1.55,2006,37000,14.0,1061.0,64.0,5,Maruti,4.699671932366252,False,False,False,False,False,True,True
Mahindra Supro VX 8 Str,5.4,2019,3888,23.5,909.0,45.0,8,Mahindra,7.210647709297036,True,False,True,False,False,False,True
Maruti Swift Dzire VDI,5.45,2016,47000,26.59,1248.0,74.0,5,Maruti,4.699671932366252,False,False,True,False,False,False,True
Honda City V MT,5.45,2013,70000,16.8,1497.0,116.3,5,Honda,6.041270410937343,True,False,False,False,False,True,True
Renault KWID RXL,2.4,2016,25000,25.17,799.0,53.3,5,Renault,4.6202908684705735,True,False,False,False,False,True,True
Maruti Vitara Brezza LDi Option,7.25,2018,26000,24.3,1248.0,88.5,5,Maruti,4.699671932366252,False,False,True,False,False,False,True
Ford Aspire 1.2 Ti-VCT Titanium Opt,4.8,2017,30000,18.16,1196.0,86.8,5,Ford,6.252057132401498,True,False,False,False,False,True,True
Hyundai i20 Magna Optional 1.2,3.75,2013,15000,18.5,1197.0,82.9,5,Hyundai,5.348761685250852,True,False,False,False,False,True,True
Maruti Swift VDi BSIII W/ ABS,2.25,2011,160000,17.8,1248.0,75.0,5,Maruti,4.699671932366252,True,False,True,False,False,False,True
Tata Tiago 1.2 Revotron XZ,4.0,2017,32100,23.84,1199.0,84.0,5,Tata,4.421740718651131,True,False,False,False,False,True,True
Hyundai i20 Magna Optional 1.2,5.5,2016,22000,18.5,1197.0,82.9,5,Hyundai,5.348761685250852,False,False,False,False,False,True,True
Mahindra Scorpio S10 7 Seater,10.5,2016,44000,15.4,2179.0,120.0,7,Mahindra,7.210647709297036,False,False,True,False,False,False,True
Volkswagen Polo 1.2 MPI Trendline,4.5,2016,78000,18.78,1198.0,74.0,5,Volkswagen,5.650061220319048,False,False,False,False,False,True,True
Mercedes-Benz C-Class C 200 CGI Elegance,7.75,2012,74352,11.74,1796.0,186.0,5,Mercedes-Benz,24.96154654611922,False,False,False,False,False,True,False
Maruti Wagon R VXI,3.5,2014,37000,20.51,998.0,67.04,5,Maruti,4.699671932366252,True,False,False,False,False,True,True
Honda City i DTEC VX Option,5.5,2014,69000,25.1,1498.0,98.6,5,Honda,6.041270410937343,False,False,True,False,False,False,True
Kia Seltos HTK Plus G,10.8,2019,12120,16.8,1497.0,113.4,5,Kia,17.178733852944873,True,False,False,False,False,True,True
Maruti Baleno Delta,5.75,2016,52000,21.01,1197.0,81.8,5,Maruti,4.699671932366252,False,False,False,False,False,True,True
Toyota Innova 2.5 G (Diesel) 8 Seater,9.5,2016,120000,12.99,2494.0,100.6,8,Toyota,11.265205016960472,True,False,True,False,False,False,True
Maruti Alto 800 LXI,2.3,2013,55000,22.74,796.0,47.3,5,Maruti,4.699671932366252,True,False,False,False,False,True,True
Hyundai i20 1.4 CRDi Magna,2.7,2011,160000,21.9,1396.0,90.0,5,Hyundai,5.348761685250852,True,False,True,False,False,False,True
Chevrolet Beat Diesel LS,1.65,2012,42000,25.44,936.0,56.3,5,Chevrolet,2.7381398767127534,False,False,True,False,False,False,True
Ford Figo Petrol EXI,1.3,2011,40000,15.6,1196.0,70.0,5,Ford,6.252057132401498,True,False,False,False,False,True,True
Maruti Swift Dzire VXI,3.7,2012,46000,19.1,1197.0,85.8,5,Maruti,4.699671932366252,False,False,False,False,False,True,True
Maruti Baleno Delta 1.2,5.7,2017,25000,21.4,1197.0,83.1,5,Maruti,4.699671932366252,False,False,False,False,False,True,True
Toyota Etios GD,3.9,2015,240000,23.59,1364.0,67.05,5,Toyota,11.265205016960472,True,False,True,False,False,False,True
Volkswagen Polo Diesel Comfortline 1.2L,3.65,2013,90000,22.07,1199.0,73.9,5,Volkswagen,5.650061220319048,False,False,True,False,False,False,True
Hyundai i20 Magna,2.8,2012,49566,18.5,1197.0,82.85,5,Hyundai,5.348761685250852,False,False,False,False,False,True,True
Hyundai Verna CRDi 1.6 AT SX Option,12.5,2018,14000,22.0,1582.0,126.2,5,Hyundai,5.348761685250852,False,False,True,False,False,False,False
Hyundai i20 2015-2017 Sportz 1.2,5.9,2016,11000,18.6,1197.0,81.83,5,Hyundai,5.348761685250852,False,False,False,False,False,True,True
Maruti Celerio VXI AMT BSIV,4.75,2018,5000,23.1,998.0,67.04,5,Maruti,4.699671932366252,True,False,False,False,False,True,False
Ford Ecosport 2015-2021 1.5 Diesel Titanium BSIV,6.85,2017,55000,23.0,1498.0,98.96,5,Ford,6.252057132401498,False,False,True,False,False,False,True
Hyundai Verna SX CRDi AT,3.8,2012,65000,19.08,1582.0,126.32,5,Hyundai,5.348761685250852,False,False,True,False,False,False,False
Renault KWID 1.0 RXT Optional,3.3,2018,22000,23.01,999.0,67.0,5,Renault,4.6202908684705735,True,False,False,False,False,True,True
Maruti Baleno Delta,6.5,2018,7671,21.01,1197.0,81.8,5,Maruti,4.699671932366252,False,True,False,False,False,True,True
Maruti Wagon R LXI,3.25,2016,66000,20.51,998.0,67.04,5,Maruti,4.699671932366252,True,False,False,False,False,True,True
Maruti Swift Dzire AMT VXI,6.4,2018,45156,21.21,1197.0,81.8,5,Maruti,4.699671932366252,False,False,False,False,False,True,False
Hyundai Venue SX Opt Turbo BSIV,9.49,2019,25000,18.27,998.0,118.35,5,Hyundai,5.348761685250852,True,False,False,False,False,True,True
Nissan Terrano XL Plus 85 PS,7.5,2015,70000,20.45,1461.0,83.8,5,Nissan,4.698757187095724,True,False,True,False,False,False,True
Hyundai Verna 1.6 CRDi SX,6.6,2015,120000,23.9,1582.0,126.2,5,Hyundai,5.348761685250852,True,False,True,False,False,False,True
Maruti Swift VXi BSIV,4.35,2014,28000,16.1,1197.0,85.0,5,Maruti,4.699671932366252,False,False,False,False,False,True,True
Hyundai i20 Sportz 1.4 CRDi,3.85,2013,55000,21.9,1396.0,88.76,5,Hyundai,5.348761685250852,False,False,True,False,False,False,True
Hyundai Santa Fe 4X2,10.0,2011,104000,14.66,2199.0,194.3,7,Hyundai,5.348761685250852,True,False,True,False,False,False,True
Hyundai Verna CRDi 1.6 AT SX Option,12.5,2019,14000,22.0,1582.0,126.2,5,Hyundai,5.348761685250852,False,False,True,False,False,False,False
Hyundai Xcent 1.2 VTVT SX,5.5,2017,18000,20.14,1197.0,81.86,5,Hyundai,5.348761685250852,True,False,False,False,False,True,True
Maruti Wagon R LX BS IV,1.55,2009,98780,18.9,998.0,67.1,5,Maruti,4.699671932366252,False,False,False,False,False,True,True
Maruti Swift VDI BSIV,4.15,2015,58000,25.2,1248.0,74.0,5,Maruti,4.699671932366252,False,False,True,False,False,False,True
Maruti Alto K10 2010-2014 VXI,2.51,2011,30000,20.92,998.0,67.1,5,Maruti,4.699671932366252,True,False,False,False,False,True,True
Mahindra Scorpio S10 7 Seater,11.5,2016,46400,15.4,2179.0,120.0,7,Mahindra,7.210647709297036,False,False,True,False,False,False,True
Hyundai i10 Magna 1.1L,3.1,2014,32111,19.81,1086.0,68.05,5,Hyundai,5.348761685250852,False,True,False,False,False,True,True
Datsun GO Plus T BSIV,3.5,2015,35000,19.44,1198.0,67.0,7,Datsun,3.2553778258484596,True,False,False,False,False,True,True
Mahindra Scorpio 1.99 S6 Plus,11.25,2017,30000,15.4,1997.0,120.0,7,Mahindra,7.210647709297036,False,False,True,False,False,False,True
BMW 5 Series 530d M Sport,26.0,2016,63000,18.59,2993.0,261.49,5,BMW,26.3869723270535,False,False,True,False,False,False,False
Chevrolet Beat LT,2.0,2017,43890,17.8,1199.0,76.8,5,Chevrolet,2.7381398767127534,True,False,False,False,False,True,True
Datsun GO Plus Anniversary Edition,4.8,2018,10000,20.62,1198.0,67.0,7,Datsun,3.2553778258484596,True,False,False,False,False,True,True
Maruti Swift Dzire AMT ZDI Plus,8.5,2017,25000,28.4,1248.0,74.02,5,Maruti,4.699671932366252,True,False,True,False,False,False,False
Hyundai Creta 1.6 CRDi AT SX Plus,11.0,2017,102000,17.01,1582.0,126.2,5,Hyundai,5.348761685250852,False,False,True,False,False,False,False
Maruti Swift VXI 2018,5.75,2018,35000,22.0,1197.0,81.8,5,Maruti,4.699671932366252,False,False,False,False,False,True,True
Hyundai Santro LP,1.6,2007,54000,0.0,999.0,5.0,5,Hyundai,5.348761685250852,True,False,False,False,False,True,True
Maruti Swift Dzire VXi,3.4,2012,49948,17.5,1298.0,85.8,5,Maruti,4.699671932366252,False,False,False,False,False,True,True
Tata Indigo eLX BS IV,5.59,2018,114851,25.0,1396.0,69.01,5,Tata,4.421740718651131,True,False,True,False,False,False,True
Ford Ecosport 2015-2021 1.5 Diesel Titanium Plus BSIV,9.25,2018,55000,23.0,1498.0,98.96,5,Ford,6.252057132401498,True,False,True,False,False,False,True
Hyundai Grand i10 Magna,4.0,2015,36000,18.9,1197.0,82.0,5,Hyundai,5.348761685250852,False,False,False,False,False,True,True
Hyundai Xcent 1.2 CRDi S,5.6,2019,35000,25.4,1186.0,73.97,5,Hyundai,5.348761685250852,True,False,True,False,False,False,True
Honda City i VTEC VX Option,7.25,2016,49625,17.8,1497.0,117.3,5,Honda,6.041270410937343,False,False,False,False,False,True,True
Maruti Swift Dzire ZDI,6.0,2014,35000,23.4,1248.0,74.0,5,Maruti,4.699671932366252,True,False,True,False,False,False,True
Mahindra Scorpio VLX 2WD AIRBAG SE BSIV,5.5,2013,95000,12.05,2179.0,120.0,8,Mahindra,7.210647709297036,True,False,True,False,False,False,True
Ford Aspire 1.5 TDCi Titanium,5.85,2017,36000,25.83,1498.0,99.0,5,Ford,6.252057132401498,False,False,True,False,False,False,True
Maruti Wagon R VXI,4.11,2019,50000,21.79,998.0,67.05,5,Maruti,4.699671932366252,True,False,False,False,False,True,True
Maruti Swift Dzire VXI,4.5,2015,26500,20.85,1197.0,83.14,5,Maruti,4.699671932366252,True,False,False,False,False,True,True
Honda CR-V 2.0L 2WD AT,12.9,2015,80000,13.7,1997.0,153.86,5,Honda,6.041270410937343,False,False,False,False,False,True,False
Volkswagen Polo 1.2 MPI Highline,4.55,2015,46000,16.47,1198.0,74.0,5,Volkswagen,5.650061220319048,False,False,False,False,False,True,True
Hyundai Grand i10 Nios Asta,7.1,2019,9000,20.7,1197.0,81.86,5,Hyundai,5.348761685250852,True,False,False,False,False,True,True
Mahindra TUV 300 T4,4.5,2016,70000,18.49,1493.0,100.0,7,Mahindra,7.210647709297036,True,False,True,False,False,False,True
Toyota Etios Liva 1.2 VX,4.65,2015,33000,17.71,1197.0,78.9,5,Toyota,11.265205016960472,False,False,False,False,False,True,True
Honda City V MT,7.7,2016,53000,16.8,1497.0,116.3,5,Honda,6.041270410937343,False,False,False,False,False,True,True
Tata Indigo LS (TDI) BS-III,3.2,2015,50000,19.09,1405.0,69.01,5,Tata,4.421740718651131,True,False,True,False,False,False,True
Tata Indigo LX (TDI) BS-III,3.25,2015,50000,19.09,1405.0,69.01,5,Tata,4.421740718651131,True,False,True,False,False,False,True
Ford Endeavour 3.2 Titanium AT 4X4,29.0,2018,11387,10.91,3198.0,197.0,7,Ford,6.252057132401498,True,False,True,False,False,False,False
Honda Amaze VX i-DTEC,7.2,2018,50000,25.8,1498.0,98.6,5,Honda,6.041270410937343,True,False,True,False,False,False,True
Mahindra KUV 100 mFALCON D75 K6 5str,3.75,2016,52000,25.32,1198.0,77.0,5,Mahindra,7.210647709297036,False,False,True,False,False,False,True
Chevrolet Aveo 1.4 LT ABS BSIV,1.45,2010,60000,14.49,1399.0,92.7,5,Chevrolet,2.7381398767127534,True,False,False,False,False,True,True
Datsun GO Plus T BSIV,4.0,2015,35000,19.44,1198.0,67.0,7,Datsun,3.2553778258484596,True,False,False,False,False,True,True
Renault Duster 85PS Diesel RxL Plus,6.0,2015,48000,19.87,1461.0,83.8,5,Renault,4.6202908684705735,True,False,True,False,False,False,True
Honda Jazz 1.2 V i VTEC,6.0,2018,18000,18.7,1199.0,88.7,5,Honda,6.041270410937343,True,False,False,False,False,True,True
Maruti Wagon R LXI DUO,2.7,2012,57413,14.4,998.0,61.7,5,Maruti,4.699671932366252,True,False,False,False,True,False,True
Hyundai i20 Magna 1.2,5.0,2015,30000,18.6,1197.0,81.83,5,Hyundai,5.348761685250852,True,False,False,False,False,True,True
Hyundai Verna 1.6 CRDi SX,6.5,2015,55000,23.9,1582.0,126.2,5,Hyundai,5.348761685250852,False,False,True,False,False,False,True
Chevrolet Sail 1.2 LS ABS,3.8,2015,120000,18.2,1199.0,82.4,5,Chevrolet,2.7381398767127534,True,False,False,False,False,True,True
Mitsubishi Pajero Sport 4X4,7.28,2012,165000,13.5,2477.0,175.56,7,Mitsubishi,9.2785189614759,True,False,True,False,False,False,True
Maruti Swift AMT ZXI,6.6,2018,10000,21.21,1197.0,81.8,5,Maruti,4.699671932366252,True,False,False,False,False,True,False
Tata Indica Vista Aura 1.3 Quadrajet,1.8,2010,120000,18.0,1248.0,75.0,5,Tata,4.421740718651131,True,False,True,False,False,False,True
BMW 3 Series 320d Luxury Line,20.9,2016,68000,22.69,1995.0,190.0,5,BMW,26.3869723270535,False,False,True,False,False,False,False
Chevrolet Beat Diesel LS,2.5,2015,55000,25.44,936.0,56.3,5,Chevrolet,2.7381398767127534,False,False,True,False,False,False,True
Kia Seltos HTK Plus G,12.75,2020,8000,16.8,1497.0,113.4,5,Kia,17.178733852944873,False,False,False,False,False,True,True
Toyota Corolla Altis G,4.55,2012,80000,14.53,1798.0,138.1,5,Toyota,11.265205016960472,False,False,False,False,False,True,True
Maruti Swift VDI,4.95,2015,65000,28.4,1248.0,74.0,5,Maruti,4.699671932366252,False,False,True,False,False,False,True
Maruti Ritz VXI,2.2,2010,47000,21.1,1197.0,85.8,5,Maruti,4.699671932366252,True,False,False,False,False,True,True
Maruti S-Cross 2017-2020 Zeta DDiS 200 SH,8.0,2018,185000,25.1,1248.0,88.5,5,Maruti,4.699671932366252,True,False,True,False,False,False,True
Hyundai Santa Fe 2WD AT,12.95,2014,68000,13.01,2199.0,194.3,7,Hyundai,5.348761685250852,False,False,True,False,False,False,False
Hyundai Grand i10 Sportz,4.75,2016,25000,18.9,1197.0,82.0,5,Hyundai,5.348761685250852,True,False,False,False,False,True,True
Tata Sumo Gold EX,3.8,2014,280000,15.3,2956.0,83.83,7,Tata,4.421740718651131,True,False,True,False,False,False,True
Maruti S-Cross 2017-2020 Zeta DDiS 200 SH,9.0,2018,7791,25.1,1248.0,88.5,5,Maruti,4.699671932366252,True,False,True,False,False,False,True
Maruti Ciaz VXi Plus,5.3,2015,70000,20.73,1373.0,91.1,5,Maruti,4.699671932366252,True,False,False,False,False,True,True
Tata Tiago 1.2 Revotron XZ,5.3,2016,9500,23.84,1199.0,84.0,5,Tata,4.421740718651131,True,False,False,False,False,True,True
Hyundai Verna 1.6 VTVT S,6.5,2015,9100,17.01,1591.0,121.3,5,Hyundai,5.348761685250852,True,False,False,False,False,True,True
Honda New Accord 2008-2011 2.4 MT,4.95,2010,82000,12.8,2354.0,177.6,5,Honda,6.041270410937343,False,False,False,False,False,True,True
Honda City 1.5 S MT,3.35,2010,86000,17.0,1497.0,118.0,5,Honda,6.041270410937343,False,False,False,False,False,True,True
